alpha,c_l,c_d,c_m,rel_thickness
22,1.25093,0.1784,-0.11503,301
24,1.19555,0.21731,-0.12596,301
26,1.17741,0.25524,-0.1369,301
28,1.15927,0.29318,-0.14784,301
30,1.14777,0.3328,-0.159,301
32,1.13626,0.37242,-0.17015,301
33,1.1509,0.4288,-0.1366,301
34,1.1629,0.4501,-0.1406,301
35,1.1648,0.4712,-0.1447,301
36,1.1565,0.4922,-0.1487,301
37,1.1482,0.5131,-0.1526,301
38,1.1499,0.534,-0.1565,301
39,1.1415,0.5547,-0.1604,301
40,1.123,0.5753,-0.1643,301
45,1.0304,0.6772,-0.1833,301
50,0.9756,0.77647,-0.19437,301
55,0.9208,0.87573,-0.20543,301
60,0.866,0.975,-0.2165,301
65,0.766,1.0678,-0.2266,301
70,0.6428,1.1479,-0.2349,301
75,0.5,1.2129,-0.2415,301
80,0.342,1.2608,-0.2462,301
85,0.1736,1.2901,-0.249,301
90,0.0,1.3,-0.25,301
95,-0.1736,1.2901,-0.249,301
100,-0.342,1.2608,-0.2462,301
105,-0.5,1.2129,-0.2415,301
110,-0.6428,1.1479,-0.2349,301
115,-0.766,1.0678,-0.2266,301
120,-0.866,0.975,-0.2165,301
125,-0.9397,0.8723,-0.2048,301
130,-0.9848,0.7629,-0.1915,301
135,-1.0,0.65,-0.1768,301
140,-0.9848,0.5371,-0.1607,301
145,-0.9397,0.4277,-0.1434,301
150,-0.866,0.325,-0.125,301
155,-0.766,0.2322,-0.1057,301
160,-0.6428,0.1521,-0.0855,301
165,-0.5,0.0871,-0.0647,301
170,-0.342,0.0392,-0.0434,301
175,-0.1736,0.0099,-0.0218,301
180,0.0,0.0,0.0,301
-180,0.0,0.0,0.0,360
-175,0.1736,0.0099,0.0218,360
-170,0.342,0.0392,0.0434,360
-165,0.5,0.0871,0.0647,360
-160,0.6428,0.1521,0.0855,360
-155,0.766,0.2322,0.1057,360
-150,0.866,0.325,0.125,360
-145,0.9397,0.4277,0.1434,360
-140,0.9848,0.5371,0.1607,360
-135,1.0,0.65,0.1768,360
-130,0.9848,0.7629,0.1915,360
-125,0.9397,0.8723,0.2048,360
-120,0.866,0.975,0.2165,360
-115,0.766,1.0678,0.2266,360
-110,0.6428,1.1479,0.2349,360
-105,0.5,1.2129,0.2415,360
-100,0.342,1.2608,0.2462,360
-95,0.1736,1.2901,0.249,360
-90,0.0,1.3,0.25,360
-85,-0.1736,1.2901,0.249,360
-80,-0.342,1.2608,0.2462,360
-75,-0.5,1.2129,0.2415,360
-70,-0.6428,1.1479,0.2349,360
-65,-0.766,1.0678,0.2266,360
-60,-0.866,0.975,0.2165,360
-55,-0.9397,0.8723,0.2048,360
-50,-0.9848,0.7629,0.1915,360
-45,-1.0,0.65,0.1768,360
-40,-0.9716,0.5422,0.1416,360
-39,-0.9639,0.5206,0.1346,360
-38,-0.9362,0.4991,0.1276,360
-37,-0.9285,0.4775,0.1205,360
-36,-0.9008,0.4559,0.1135,360
-35,-0.8931,0.4344,0.1065,360
-34,-0.8754,0.4128,0.0994,360
-33,-0.8477,0.3913,0.0924,360
-32,-0.82638,0.30151,0.04467,360
-30,-0.81775,0.26767,0.03274,360
-28,-0.80912,0.23383,0.02081,360
-26,-0.79237,0.20448,0.01019,360
-24,-0.77563,0.17513,-0.00043,360
-22,-0.7441,0.15126,-0.00889,360
-20,-0.71257,0.12739,-0.01736,360
-18,-0.66785,0.1085,-0.02292,360
-16,-0.62313,0.08961,-0.02848,360
-14,-0.57418,0.07483,-0.02995,360
-12,-0.52523,0.06004,-0.03143,360
-10,-0.48272,0.04851,-0.02793,360
-8,-0.4402,0.03699,-0.02443,360
-6,-0.29832,0.02943,-0.03591,360
-4,-0.15643,0.02187,-0.04739,360
-2,0.17445,0.02028,-0.07817,360
0,0.50533,0.01868,-0.10895,360
2,0.8241,0.01878,-0.13291,360
4,1.12091,0.01964,-0.15102,360
6,1.38972,0.0213,-0.16294,360
8,1.62544,0.02404,-0.16909,360
10,1.80606,0.02895,-0.16816,360
12,1.81594,0.0445,-0.15714,360
14,1.50898,0.09361,-0.15208,360
16,1.3248,0.1422,-0.15983,360
18,1.23631,0.18569,-0.16957,360
20,1.17287,0.22942,-0.17959,360
22,1.16267,0.26752,-0.18869,360
24,1.15246,0.30562,-0.19779,360
